1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80
31	0	0.84	0	0.04	0.08	0	0.03	0.02	0.03	1	2.2	0	0	0	0	0.84	0	0.04	0.08	0	0.03	0.02	0.03	1	1.02	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	0	0	0	0	0	0.84	0	0.04	0.08	0	0.12	0.02	0.03	1	0.3	0	0	0	129.91	266.69	80	0	1	0	25	25	25
32	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	2.12	0	0	0	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	1.02	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	0.53	0	0	0	0	0	0	0.04	0.08	0	0.12	0.02	0.03	1	0.3	0	0	0	134.02	266.69	80	0	1	1	25	25	25
33	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0.56	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.24	0	0	0	123.68	212.82	30	0	1	1	25	25	25
34	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0.41	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.15	0	0	0	116.68	133.35	30	0	1	1	25	25	25
35	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.12	0	0	0	118.79	106.85	30	0	1	1	25	25	25
36	0	0	0	0.04	0.3	0	0	0.08	0.03	0.5	0.71	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	1.09	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0.3	0	0.12	0.08	0.03	1	0.18	0	0	0	131.21	159.84	30	0	1	1	25	25	25
37	0	0	0	0.04	0.3	0	0	0.08	0.03	0.5	0.71	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	1.09	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0.21	0	0	0	0	0	0	0.04	0.3	0	0.12	0.08	0.03	1	0.24	0	0	0	129.98	212.82	30	0	1	1	25	25	25
38	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0.42	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.15	0	0	0	115.8	133.35	30	0	1	1	25	25	25
39	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.09	0	0	0	105.24	79.48	30	0	1	1	25	25	25
40	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.09	0	0	0	105.64	79.48	30	0	1	1	25	25	25
