Qel	Qelflex	Qelabwteil	Qelabw	Qww	Pers	Queber	Solltemperatur Decke	Solltemperatur Decke	
kW/HH	kW/HH	kW/HH	kW/HH	l/HH	Pers/HH	Freigabe	Celsium	Celsium	
0.081532568	0	0	0.081532568	0	2	1	29.5	22	66.25
0.036599744	0	0	0.036599744	0	2	1	29	22	66.5
0.055271368	0	0	0.055271368	0	2	1	28.5	22	66.75
0.03553282	0	0	0.03553282	0	2	1	28	22	67
0.214810244	0.154022044	0.154022044	0.137799222	20	0	1	27.5	22	67.25
1.522554028	1.487539524	1.487539524	0.778784266	0	0	1	27	22	67.5
0.159408436	0.027191716	0.027191716	0.145812578	0	0	1	26.5	22	67.75
0.419358104	0.026484384	0.026484384	0.406115912	0	0	1	26	22	68
0.694728532	0.265064524	0.265064524	0.56219627	0	2	1	25.5	22	68.25
0.338173316	0.009394444	0.009394444	0.333476094	20	2	1	25	22	68.5
0.334206484	0	0	0.334206484	20	2	1	24.5	22	68.75
0.375829532	0	0	0.375829532	0	2	1	24	22	69
0.335839884	0	0	0.335839884	0	2	1	23.5	22	69.25
0.1418867	0	0	0.1418867	0	2	1	23	22	69.5
1.326694336	0	0	1.326694336	0	2	1	22.5	22	69.75
0.60524138	0	0	0.60524138	20	2	1	22	22	70
1.789065152	0	0	1.789065152	20	2	1	22	22	70.25
0.428346828	0	0	0.428346828	0	2	1	22	22	70.5
0.260959508	0	0	0.260959508	0	2	1	22	22	70.75
0.448480336	0	0	0.448480336	0	2	1	22	22	71
0.125230476	0	0	0.125230476	0	2	1	22	22	71.25
0.095977276	0	0	0.095977276	0	2	1	22	22	71.5
0.109285908	0	0	0.109285908	0	2	1	22	22	71.75
1.872347864	0	0	1.872347864	0	2	1	22	22	72
0.162638984	0	0	0.162638984	0	0	0	22	22	72.25
0.096051748	0	0	0.096051748	0	0	0	22	22	72.5
0.061205512	0	0	0.061205512	0	0	0	22	22	72.75
0.095346072	0	0	0.095346072	0	0	0	22	22	73
0.11726956	0	0	0.11726956	0	2	0	22	22	73.25
0.12266048	0	0	0.12266048	0	2	0	22	22	73.5
0.145218888	0	0	0.145218888	0	2	0	22	22	73.75
0.09004218	0	0	0.09004218	0	2	0	22	22	74
0.051742724	0	0	0.051742724	0	2	0	22	22	74.25
0.035015328	0	0	0.035015328	0	2	0	22	22	74.5
0.049674748	0	0	0.049674748	0	2	0	22	22	74.75
0.039821128	0	0	0.039821128	0	2	0	22	22	75
0.039792552	0	0	0.039792552	0	2	0	22	22	75.25
0.045377948	0	0	0.045377948	0	2	0	22	22	75.5
0.052236064	0	0	0.052236064	0	2	0	22	22	75.75
0.066209592	0	0	0.066209592	0	2	0	22	22	76
0.14414158	0	0	0.14414158	0	0	0	22	22	76.25
0.279896752	0	0	0.279896752	60	0	0	22	22	76.5
0.089440316	0	0	0.089440316	0	0	0	22	22	76.75
0.045038496	0	0	0.045038496	10	0	0	22	22	77
0.073175144	0.017398792	0.017398792	0.064475748	20	0	0	22	22	77.25
1.474137732	1.136471484	1.136471484	0.90590199	20	0	0	22	22	77.5
0.170664948	0.104756624	0.104756624	0.118286636	10	0	0	22	22	77.75
0.127003632	0.091137148	0.091137148	0.081435058	0	0	0	22	22	78
0.44565566	0.123298616	0.123298616	0.384006352	0	2	0	22	22	78.25
0.939963492	0.108375984	0.108375984	0.8857755	0	2	0	22	22	78.5
2.127500356	0	0	2.127500356	0	2	0	22	22	78.75
0.325736608	0	0	0.325736608	0	2	0	22	22	79
0.301493796	0	0	0.301493796	0	0	0	22	22	79.25
0.3112108	0	0	0.3112108	20	0	0	22	22	79.5
1.048798552	0.73309446	0	1.048798552	0	0	0	22	22	79.75
1.145577156	0.99927378	0	1.145577156	0	0	0	22	22	80
0.871287484	0.834258384	0	0.871287484	0	2	0	22.5	22	80.25
1.0165645	0.71281984	0	1.0165645	0	2	0	23	22	80.5
0.73981644	0.493005388	0	0.73981644	0	2	0	23.5	22	80.75
0.665063312	0	0	0.665063312	0	2	0	24	22	81
0.160981868	0	0	0.160981868	0	2	0	24.5	22	81.25
1.15088566	0	0	1.15088566	0	2	0	25	22	81.5
0.659395128	0	0	0.659395128	20	2	0	25.5	22	81.75
0.340358076	0	0	0.340358076	0	2	0	26	22	82
0.351170504	0	0	0.351170504	0	2	0	26.5	22	82.25
0.325053716	0	0	0.325053716	0	2	0	27	22	82.5
0.348979868	0	0	0.348979868	0	2	0	27.5	22	82.75
