1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
31	129.91	266.69	80	0.011989	0.2109638	0.1463183	0.641406135	0	0	0.3018	0	36.14554838	310.1216296	1.604085694	0	0.43036605	6.965095608	4.930643864	0.270098507	4.660545357	2.467812283	2.192733074	0	2.192733074	0.3	0	0	0
32	134.02	266.69	80	0.0136675	0.242293	0.1590058	0.256124634	0	0	0.025302	0	35.13470372	315.0798251	1.690672944	0	0.49427772	7.522791449	5.337840786	0.270098507	5.067742279	2.467812283	2.599929996	0	2.599929996	0.1	7.160059323	4.84167123	4.84167123
33	123.68	212.82	30	0.0203405	0.3019475	0.2073593	0.330554014	0	0	0.417843	0	34.20018089	308.6875439	1.691431531	0.059060827	0.6159729	8.178511232	5.812045974	0.270098507	5.541947468	2.467812283	3.074135184	0	3.074135184	0.05	92.46240836	25.76793201	25.76793201
34	116.68	133.35	30	0.021358	0.3692565	0.291535	1.083604215	0	0	0.278325	0	34.4482873	308.5106241	1.710504567	0.282491602	0.75328326	8.262531752	5.516252323	0.270098507	5.246153817	2.467812283	2.778341534	0	2.778341534	0.2	71.06171333	38.93175533	38.93175533
35	118.79	106.85	30	0.0362715	0.4126385	0.4075248	1.365998043	0	0	0.576735	0	34.70489401	308.1879764	1.751034769	0.613685756	0.84178254	8.606707555	5.40020449	0.270098507	5.130105983	2.467812283	2.6622937	0	2.6622937	0.65	58.88518125	45.53618689	45.53618689
36	131.21	159.84	30	0.055943	0.4069753	0.4484925	0.989472942	0	0	1.508577	0	35.76306839	308.5546292	1.786254864	0.927597457	0.83022951	8.405649275	4.861567444	0.270098507	4.591468938	2.467812283	2.123656654	0	2.123656654	1.3	257.702644	70.89116982	70.89116982
37	129.98	212.82	30	0.0868203	0.4236053	0.5322243	1.011363935	0	0	1.584504	0	36.56509565	302.8332328	1.789072472	1.091057557	0.86415471	8.107209414	4.362924675	0.270098507	4.092826169	2.467812283	1.625013885	0	1.625013885	1.2	256.5391297	65.85155375	65.85155375
38	115.8	133.35	30	0.1309405	0.4783665	0.6007943	1.315648756	0	0	2.74095	0	36.34335407	299.5218648	1.722967062	1.034586298	0.97586766	8.039119389	4.305698369	0.270098507	4.035599862	2.467812283	1.567787579	0	1.567787579	0.5	33.59012913	29.29887052	29.29887052
39	105.24	79.48	30	0.179246	0.5199913	0.6053015	2.033673372	0	0	4.258785	0	35.39102565	301.9308286	1.80998779	0.756872567	1.06078215	8.102327487	4.47468498	0.270098507	4.204586474	2.467812283	1.73677419	0	1.73677419	0.15	5.663206225	5.663206225	5.663206225
40	105.64	79.48	30	0.2250018	0.5784225	0.6523478	3.340565727	0	0	3.391233	0	33.88733215	310.7008975	1.907628731	0.36845128	1.1799819	8.352847388	4.896785477	0.270098507	4.62668697	2.467812283	2.158874687	0	2.158874687	-0.1	0.488017041	0.488017041	0.488017041
